price,price_m2,area_m2,address,url
,,Plotas,,
230 000 €,5 476                                    €/m²,42,Naujamiestis Naugarduko g.,https://www.aruodas.lt/butai-vilniuje-naujamiestyje-naugarduko-g-parduodamas-visiskai-naujas-kokybiskai-1-3608216/?search_pos=86
106 000 €,2 524                                    €/m²,42,Naujamiestis Vandentiekio g.,https://www.aruodas.lt/butai-vilniuje-naujamiestyje-vandentiekio-g-parduodamas-kambariu-butas-vandentiekio-g-1-3606792/?search_pos=87
157 090 €,5 016                                    €/m²,31.3,Šnipiškės Trimitų g.,https://www.aruodas.lt/butai-vilniuje-snipiskese-trimitu-g-gyvenimo-mieste-skambesiui-black-friday-1-3584865/?search_pos=88
151 441 €,3 703                                    €/m²,40.9,Karoliniškės Sietyno g.,https://www.aruodas.lt/butai-vilniuje-karoliniskese-sietyno-g-naujas-butu-projektas-karoliniskese-1-3381386/?search_pos=89
228 100 €,4 556                                    €/m²,50.1,Naujininkai Tyzenhauzų g.,https://www.aruodas.lt/butai-vilniuje-naujininkuose-tyzenhauzu-g-citus-tyzenhauz-modernus-projektas-1-3605794/?search_pos=90
286 000 €,4 224                                    €/m²,67.7,Žvėrynas Ukmergės g.,https://www.aruodas.lt/butai-vilniuje-zveryne-ukmerges-g-butai-saltoniskese-tai-modernus-1-3607778/?search_pos=91
165 000 €,4 568                                    €/m²,36.1,Naujamiestis Smolensko g.,https://www.aruodas.lt/butai-vilniuje-naujamiestyje-smolensko-g-kitokiu-sprendimu-namu-projektas-vilniaus-1-3592905/?search_pos=92
222 222 €,4 200                                    €/m²,52.9,Šnipiškės Daugėliškio g.,https://www.aruodas.lt/butai-vilniuje-snipiskese-daugeliskio-g-sesiuose-a-energines-klases-namuose-1-3607084/?search_pos=93
212 911 €,3 490                                    €/m²,61,Žirmūnai Riterių g.,https://www.aruodas.lt/butai-vilniuje-zirmunuose-riteriu-g-kaip-niujorkas-by-citus-populiariausias-1-3597986/?search_pos=94
209 640 €,3 847                                    €/m²,54.5,Žirmūnai Kareivių g.,https://www.aruodas.lt/butai-vilniuje-zirmunuose-kareiviu-g-startavo-naujas-citus-munai-etapas-citus-1-3606388/?search_pos=95
151 027 €,2 844                                    €/m²,53.1,Pašilaičiai Gileikių g.,https://www.aruodas.lt/butai-vilniuje-pasilaiciuose-gileikiu-g-naujas-projekto-city-stories-etapas-1-3606258/?search_pos=96
152 700 €,3 401                                    €/m²,44.9,Šeškinė Gelvonų g.,https://www.aruodas.lt/butai-vilniuje-seskineje-gelvonu-g-skelbime-nurodytas-butas-nr-a-su-terasa-1-3602850/?search_pos=97
466 921 €,4 972                                    €/m²,93.9,Lazdynai Kazimiero Jelskio g.,https://www.aruodas.lt/butai-vilniuje-lazdynuose-kazimiero-jelskio-g-sakai-naujasis-darnu-group-kuriamas-1-3599836/?search_pos=98
125 900 €,2 988                                    €/m²,42.1,Fabijoniškės Mykolo Lietuvio g.,https://www.aruodas.lt/butai-vilniuje-fabijoniskese-mykolo-lietuvio-g-rezervuokite-svajoniu-busta-vos-su-1-3597162/?search_pos=99
224 182 €,3 350                                    €/m²,66.9,Karoliniškės Sietyno g.,https://www.aruodas.lt/butai-vilniuje-karoliniskese-sietyno-g-naujas-butu-projektas-karoliniskese-1-3530655/?search_pos=100
,,Plotas,,
500 000 €,5 648                                    €/m²,88.5,Žvėrynas Sakalų g.,https://www.aruodas.lt/butai-vilniuje-zveryne-sakalu-g-senojo-zveryno-sirdyje-vystomas-projektas-1-3509739/?search_pos=101
152 405 €,3 066                                    €/m²,49.7,Karoliniškės Sietyno g.,https://www.aruodas.lt/butai-vilniuje-karoliniskese-sietyno-g-naujas-butu-projektas-karoliniskese-1-3588337/?search_pos=102
205 000 €,3 165                                    €/m²,64.8,Pilaitė M. Mažvydo g.,https://www.aruodas.lt/butai-vilniuje-pilaiteje-m-mazvydo-g-isskirtinis-butas-su-terasa-buto-1-3513781/?search_pos=103
193 125 €,3 090                                    €/m²,62.5,Pašilaičiai Medeinos g.,https://www.aruodas.lt/butai-vilniuje-pasilaiciuose-medeinos-g-medeinos-namai-lietuviu-mitologijos-ir-1-3494659/?search_pos=104
375 099 €,4 850                                    €/m²,77.3,Senamiestis Seinų g.,https://www.aruodas.lt/butai-vilniuje-senamiestyje-seinu-g-naujame-projekte-senamiescio-sodai-1-3604974/?search_pos=105
206 600 €,4 896                                    €/m²,42.2,Šnipiškės Linkmenų g.,https://www.aruodas.lt/butai-vilniuje-snipiskese-linkmenu-g-parduodamas-kambariu-butas-naujausiame-1-3582537/?search_pos=106
